,Ecosystem,Season,Time,Year_x,H_mean,LE_mean,Rn_mean,PVeff_x,PVe_mean,Sin_x,Sout_x,Lin_x,Lout_x,Year_y,H_sd,LE_sd,Rn_sd,PVeff_y,PVe_sd,Sin_y,Sout_y,Lin_y,Lout_y
53,Desert background,Spring,02:30,2018.0,-49.274727,-4.9160423,-81.20449,0.058,0.0,0.0,0.0,322.46777,403.67224,0.0,25.790170509428897,10.147483383131213,7.33690993758451,0.0,0.0,0.0,0.0,3.183010973032198,5.183826656744392
54,Desert background,Spring,03:00,2018.0,-5.740576,-4.67045,-80.671425,0.058,0.0,0.0,0.009265115,320.37476,401.0369,0.0,41.172951519851985,13.289107354720956,8.360017109485876,0.0,0.0,0.0,0.015233936662783965,5.60009385770379,6.076338832303006
55,Desert background,Spring,03:30,2018.0,-46.635975,3.2759414,-78.6436,0.058,0.0,0.0,0.08292612,319.779,398.33966,0.0,30.53442003791455,7.776464532239018,8.991546993277295,0.0,0.0,0.0,0.09068121025268482,8.110837369986422,7.4641236658961025
56,Desert background,Spring,04:00,2018.0,-17.047802,-2.31947,-78.269745,0.058,0.0,0.0,0.092937894,320.0665,398.24332,0.0,13.349546664307379,0.6045302024172148,8.60415207146601,0.0,0.0,0.0,0.10869812493927396,6.0811477559963105,6.94273925406638
57,Desert background,Spring,04:30,2018.0,-49.86115,10.441768,-78.138115,0.058,0.0,0.0,0.01400934,320.07776,398.20184,0.0,47.06104623501337,14.629786773114956,8.319458320862308,0.0,0.0,0.0,0.01570241123903457,5.080155228694619,5.966815357028744
58,Desert background,Spring,05:00,2018.0,-28.393595,1.7956107,-77.60924,0.058,0.0,0.0,0.005042025,319.74927,397.35345,0.0,20.974911421659925,6.744176170276321,8.304999748771053,0.0,0.0,0.0,0.01008404977619648,9.228090500147458,8.038749603059278
59,Desert background,Spring,05:30,2018.0,-49.297726,-0.9287645,-76.75126,0.058,0.0,5.19706,2.6044025,316.7833,396.1272,0.0,35.47452356176922,16.24191763123979,6.322369618266896,0.0,0.0,0.8797248423738485,0.410050182759791,11.494271798153088,11.011833773504662
60,Desert background,Spring,06:00,2018.0,-24.963224,8.96407,-58.21946,0.058,0.0,56.0131,31.298676,313.60364,396.5375,0.0,17.811303101170896,12.431039662040293,5.199176848430141,0.0,0.0,5.440318282445697,5.294274491955089,10.87783490316985,9.558800372245104
61,Desert background,Spring,06:30,2018.0,15.228775,-2.2280507,-13.694199,0.058,0.0,153.9555,77.2413,312.73645,403.14484,0.0,23.682152839426088,1.5700660712681167,4.546796482219081,0.0,0.0,12.296565482630733,8.17942004970836,10.715147195662338,7.541867616946712
62,Desert background,Spring,07:00,2018.0,-0.5356768,5.25137,43.601273,0.058,0.0,262.53052,119.657,315.91193,415.18417,0.0,25.669164133343035,3.8221135887032243,5.001459470317298,0.0,0.0,20.03766170312474,10.241319108614968,11.222857507569557,7.1243081809196385
63,Desert background,Spring,07:30,2018.0,19.1859,3.5564723,100.47705,0.058,0.0,376.49023,164.8195,317.70236,428.89606,0.0,2.684969132608937,1.2914916258316793,6.298217493863079,0.0,0.0,25.22446142056161,12.504850303815283,12.319985522252699,6.323752237219201
64,Desert background,Spring,08:00,2018.0,44.5325,6.3321676,158.52615,0.058,0.0,490.7395,209.581,320.87787,443.5102,0.0,17.625407786066408,2.670700668508084,9.874705052038975,0.0,0.0,26.15305362950655,10.541488007053557,10.992327968723488,6.480481904493427
65,Desert background,Spring,08:30,2018.0,60.3838,12.7171545,242.62408,0.058,0.0,597.62866,224.62677,328.1048,458.4826,0.0,26.00879400899376,7.191029271414197,52.95166124123461,0.0,0.0,23.94028709522687,48.404817038876004,12.913626366651588,5.70089630865516
66,Desert background,Spring,09:00,2018.0,122.66033,21.619165,286.34995,0.058,0.0,688.6809,260.21497,332.65204,474.768,0.0,10.706959684961694,11.417794012970308,54.308106647771154,0.0,0.0,28.787476052254284,45.94667082107572,14.2519608332554,6.181880813248004
67,Desert background,Spring,09:30,2018.0,115.36563,16.994633,332.40414,0.058,0.0,776.7948,292.13354,335.26367,487.52078,0.0,35.99804383352042,4.896355518264903,49.40827874098446,0.0,0.0,28.820076028963086,42.41328635799654,14.627144522735765,6.734052487373356
68,Desert background,Spring,10:00,2018.0,124.75343,9.764197,364.4754,0.058,0.0,844.38635,319.9491,338.1554,498.11728,0.0,42.686837203770615,5.332947097183649,43.76936348923449,0.0,0.0,24.60095135924155,37.63617700188284,13.31503774425779,8.580153681629854
69,Desert background,Spring,10:30,2018.0,167.43774,13.617123,388.30276,0.058,0.0,895.4241,341.67316,341.9446,507.39276,0.0,34.07819619637881,7.716068554592832,37.10972801627012,0.0,0.0,24.10405239197072,31.53569701542496,12.13937782351802,9.62239715835767
70,Desert background,Spring,11:00,2018.0,161.37775,15.94855,401.4884,0.058,0.0,930.7891,357.6466,345.69104,517.3452,0.0,39.28274231498929,2.49230362231646,31.22539985508211,0.0,0.0,21.383615702814424,25.921852015906747,11.193187184943302,8.921397672170317
71,Desert background,Spring,11:30,2018.0,194.203,13.513033,405.26892,0.058,0.0,948.6692,367.64075,348.26788,524.02747,0.0,18.384742556879868,7.579312159342488,25.559048089349123,0.0,0.0,20.9766741723605,20.216616075600868,12.0918396214739,9.038956685973142
72,Desert background,Spring,12:00,2018.0,194.0635,15.9523,399.5985,0.058,0.0,945.63214,367.50015,350.2742,528.8077,0.0,25.10642838974436,4.736676513493452,20.983811190537477,0.0,0.0,26.07973421116039,13.36693311344103,13.258058427897124,10.180034645849943
73,Desert background,Spring,12:30,2018.0,198.5505,10.41049,381.7755,0.058,0.0,923.6203,360.49713,352.0041,533.3518,0.0,16.170385729928235,4.449390533184064,20.599126901554257,0.0,0.0,35.62283727246536,12.524816286916844,14.431448195204775,12.254038819386468
74,Desert background,Spring,13:00,2018.0,181.31375,11.766033,350.45068,0.058,0.0,879.34204,348.60663,353.398,533.68274,0.0,15.164981881733613,4.704140470553304,15.087977414534818,0.0,0.0,32.95306288204757,15.508432168555037,14.625023234593256,13.4083644288949
75,Desert background,Spring,13:30,2018.0,178.65976,8.442067,310.73514,0.058,0.0,817.52234,329.8943,355.206,532.0989,0.0,25.99780185887121,14.80044027541573,24.150081152629255,0.0,0.0,34.53367698986463,23.521657690229667,15.011469114952883,13.98377624792513
76,Desert background,Spring,14:00,2018.0,171.6675,18.62545,264.99097,0.058,0.0,737.27716,300.9878,357.13345,528.4319,0.0,26.89259896945025,5.801014940364954,30.395594880724936,0.0,0.0,36.91785493548589,29.60047544603876,16.132803783467796,15.127028669985348
77,Desert background,Spring,14:30,2018.0,143.19675,11.087768,214.66531,0.058,0.0,647.65717,268.07538,357.85187,522.7684,0.0,27.92554547362178,3.4880300778498454,35.16131057308824,0.0,0.0,38.12118295935331,34.79426239947657,16.491392234215244,15.775553600576774
78,Desert background,Spring,15:00,2018.0,124.085175,9.752092,158.81746,0.058,0.0,545.1542,229.65378,357.94415,514.6271,0.0,35.409160285189856,2.143573051791353,36.88021124010413,0.0,0.0,39.68535404132502,40.75661170105396,15.879605921002796,14.993585942544412
79,Desert background,Spring,15:30,2018.0,95.605225,7.7952175,100.10085,0.058,0.0,435.07098,187.4438,357.2063,504.73264,0.0,15.842252255821172,4.809065553123251,36.7268130738207,0.0,0.0,39.680556616479905,46.71730280665967,15.131994711018423,14.773171031389177
