doy,time,shadow,panel,soil
92,05:15,30.755931032557292,51,18.244068967442708
92,05:30,29.861776838765316,51,19.138223161234684
92,05:45,29.002401383083132,51,19.997598616916868
92,06:00,28.177821026782034,51,20.822178973217966
92,06:15,27.3880514686821,51,21.6119485313179
92,06:30,26.63310774485768,51,22.36689225514232
92,06:45,25.913004228350204,51,23.086995771649796
92,07:00,25.227754628890843,51,23.772245371109157
92,07:15,24.57737199264497,51,24.42262800735503
92,07:30,23.96186870196026,51,25.03813129803974
92,07:45,23.381256475132698,51,25.618743524867302
92,08:00,22.835546366181042,51,26.164453633818958
92,08:15,22.324748764641278,51,26.675251235358722
92,08:30,21.848873395361288,51,27.151126604638712
92,08:45,21.40792931832235,51,27.59207068167765
92,09:00,21.001924928465037,51,27.998075071534963
92,09:15,20.63086795552682,51,28.36913204447318
92,09:30,20.294765463898614,51,28.705234536101386
92,09:45,19.993623852487485,51,29.006376147512515
92,10:00,19.727448854593604,51,29.272551145406396
92,10:15,19.496245537807308,51,29.503754462192692
92,10:30,19.300018303905425,51,29.699981696094575
92,10:45,19.138770888772378,51,29.861229111227622
92,11:00,19.012506362325908,51,29.987493637674092
92,11:15,18.921227128460814,51,30.078772871539186
92,11:30,18.864934925001833,51,30.135065074998167
92,11:45,18.84363082367204,51,30.15636917632796
92,12:00,18.85731523007059,51,30.14268476992941
92,12:15,18.905987883665702,51,30.094012116334298
92,12:30,18.98964785780022,51,30.01035214219978
92,12:45,19.108293559709246,51,29.891706440290754
92,13:00,19.261922730549557,51,29.738077269450443
92,13:15,19.45053244544346,51,29.54946755455654
92,13:30,19.67411911353305,51,29.32588088646695
92,13:45,19.932678478050953,51,29.067321521949047
92,14:00,20.226205616399323,51,28.773794383600677
92,14:15,20.554694940245046,51,28.445305059754954
92,14:30,20.918140195624634,51,28.081859804375366
92,14:45,21.316534463064105,51,27.683465536935895
92,15:00,21.749870157711662,51,27.250129842288338
92,15:15,22.218139029479488,51,26.781860970520512
92,15:30,22.721332163202725,51,26.278667836797275
92,15:45,23.259439978811113,51,25.740560021188887
92,16:00,23.8324522315063,51,25.1675477684937
92,16:15,24.440358011961717,51,24.559641988038283
92,16:30,25.083145746526696,51,23.916854253473304
92,16:45,25.760803197450162,51,23.239196802549838
92,17:00,26.473317463109993,51,22.526682536890007
92,17:15,27.22067497826263,51,21.77932502173737
92,17:30,28.00286151429829,51,20.99713848570171
92,17:45,28.819862179512754,51,20.180137820487246
92,18:00,29.671661419390418,51,19.328338580609582
92,18:15,30.558243016901383,51,18.441756983098617
92,18:30,31.479590092811826,51,17.520409907188174
92,18:45,32.43568510599983,51,16.56431489400017
92,19:00,33.426509853795025,51,15.573490146204975
92,19:15,34.4520454723228,51,14.547954527677199
92,19:30,35.51227243686289,51,13.487727563137113
92,19:45,36.607170562220716,51,12.392829437779284
92,20:00,37.73671900311712,51,11.263280996882877
92,20:15,38.90089625457622,51,10.099103745423783
92,20:30,40.09968015234194,51,8.90031984765806
92,20:45,41.33304787329684,51,7.666952126703158
93,04:00,34.51699335888587,51,14.48300664111413
93,04:15,33.50384077366719,51,15.496159226332807
93,04:30,32.52373794032246,51,16.476262059677538
93,04:45,31.576703518596695,51,17.423296481403305
93,05:00,30.662755538659294,51,18.337244461340706
93,05:15,29.781911400765043,51,19.218088599234957
93,05:30,28.934187874913363,51,20.065812125086637
93,05:45,28.11960110053894,51,20.88039889946106
93,06:00,27.338166586201105,51,21.661833413798895
93,06:15,26.58989920928534,51,22.41010079071466
93,06:30,25.874813215724267,51,23.125186784275733
93,06:45,25.19292221972557,51,23.80707778027443
93,07:00,24.544239203509147,51,24.455760796490853
93,07:15,23.928776517065312,51,25.071223482934688
93,07:30,23.34654587791625,51,25.65345412208375
93,07:45,22.7975583708946,51,26.2024416291054
93,08:00,22.281824447930067,51,26.718175552069933
93,08:15,21.799353927855215,51,27.200646072144785
93,08:30,21.350155996211193,51,27.649844003788807
93,08:45,20.934239205079294,51,28.065760794920706
93,09:00,20.551611472916633,51,28.448388527083367
93,09:15,20.202280084402826,51,28.797719915597174
93,09:30,19.886251690304967,51,29.113748309695033
93,09:45,19.60353230734823,51,29.39646769265177
93,10:00,19.354127318100165,51,29.645872681899835
93,10:15,19.13804147087427,51,29.86195852912573
93,10:30,18.955278879632562,51,30.044721120367438
93,10:45,18.805843023912058,51,30.194156976087942
93,11:00,18.68973674875545,51,30.31026325124455
93,11:15,18.606962264659078,51,30.393037735340922
93,11:30,18.557521147529496,51,30.442478852470504
93,11:45,18.541414338654967,51,30.458585661345033
93,12:00,18.55864214468569,51,30.44135785531431
93,12:15,18.609204237628678,51,30.390795762371322
93,12:30,18.693099654854556,51,30.306900345145444
93,12:45,18.810326799115938,51,30.189673200884062
93,13:00,18.96088343857689,51,30.03911656142311
93,13:15,19.14476670685628,51,29.85523329314372
93,13:30,19.361973103080953,51,29.638026896919047
93,13:45,19.612498491954703,51,29.387501508045297
93,14:00,19.896338103834996,51,29.103661896165004
93,14:15,20.21348653482526,51,28.78651346517474
93,14:30,20.56393774687626,51,28.43606225312374
93,14:45,20.94768506790188,51,28.05231493209812
93,15:00,21.36472119190704,51,27.63527880809296
93,15:15,21.815038179124283,51,27.184961820875717
93,15:30,22.298627456166756,51,26.701372543833244
93,15:45,22.815479816193342,51,26.184520183806658
93,16:00,23.36558541907895,51,25.63441458092105
93,16:15,23.94893379160659,51,25.05106620839341
93,16:30,24.565513827663256,51,24.434486172336744
93,16:45,25.215313788454658,51,23.784686211545342
93,17:00,25.898321302725165,51,23.101678697274835
93,17:15,26.61452336699719,51,22.38547663300281
93,17:30,27.363906345815842,51,21.636093654184158
93,17:45,28.146455972009335,51,20.853544027990665
93,18:00,28.96215734696021,51,20.03784265303979
93,18:15,29.81099494088989,51,19.18900505911011
93,18:30,30.69295259315593,51,18.30704740684407
93,18:45,31.608013512554294,51,17.391986487445706
93,19:00,32.556160277644594,51,16.443839722355406
93,19:15,33.53737483707949,51,15.46262516292051
93,19:30,34.55163850994779,51,14.448361490052207
93,19:45,35.59893198612979,51,13.401068013870209
93,20:00,36.67923532667016,51,12.32076467332984
93,20:15,37.79252796414876,51,11.20747203585124
93,20:30,38.938788703079226,51,10.061211296920774
93,20:45,40.11799572030935,51,8.882004279690648
94,04:00,33.290393892707655,51,15.709606107292345
94,04:15,32.33168288597714,51,16.668317114022862
94,04:30,31.40438992552702,51,17.59561007447298
94,04:45,30.508532665678445,51,18.491467334321555
94,05:00,29.644128162261453,51,19.355871837738547
94,05:15,28.8111928722944,51,20.1888071277056
94,05:30,28.00974265366136,51,20.99025734633864
94,05:45,27.239792764819942,51,21.760207235180058
94,06:00,26.501357864507483,51,22.498642135492517
94,06:15,25.794452011458834,51,23.205547988541166
94,06:30,25.119088664142815,51,23.880911335857185
94,06:45,24.475280680505154,51,24.524719319494846
94,07:00,23.863040317720127,51,25.136959682279873
94,07:15,23.282379231962445,51,25.717620768037555
94,07:30,22.733308478181982,51,26.266691521818018
94,07:45,22.215838509894954,51,26.784161490105046
94,08:00,21.729979178982575,51,27.270020821017425
94,08:15,21.275739735508196,51,27.724260264491804
94,08:30,20.85312882753401,51,28.14687117246599
94,08:45,20.4621545009627,51,28.5378454990373
94,09:00,20.102824199382788,51,28.897175800617212
94,09:15,19.77514476392441,51,29.22485523607559
94,09:30,19.479122433132666,51,29.520877566867334
94,09:45,19.21476284284612,51,29.78523715715388
94,10:00,18.982071026088377,51,30.017928973911623
94,10:15,18.781051412978186,51,30.218948587021814
94,10:30,18.611707830638192,51,30.388292169361808
94,10:45,18.474043503126815,51,30.525956496873185
94,11:00,18.368061051373836,51,30.631938948626164
94,11:15,18.293762493132586,51,30.706237506867414
94,11:30,18.251149242940205,51,30.748850757059795
94,11:45,18.240222112092205,51,30.759777887907795
94,12:00,18.260981308625194,51,30.739018691374806
94,12:15,18.3134264373136,51,30.6865735626864
94,12:30,18.397556499677755,51,30.602443500322245
94,12:45,18.513369894002963,51,30.486630105997037
94,13:00,18.66086441536907,51,30.33913558463093
94,13:15,18.840037255693225,51,30.159962744306775
94,13:30,19.050885003782074,51,29.949114996217926
94,13:45,19.29340364539888,51,29.70659635460112
94,14:00,19.567588563338038,51,29.432411436661962
94,14:15,19.873434537514434,51,29.126565462485566
94,14:30,20.21093574506131,51,28.78906425493869
94,14:45,20.580085760441992,51,28.419914239558008
94,15:00,20.980877555573027,51,28.019122444426973
94,15:15,21.413303499955585,51,27.586696500044415
94,15:30,21.877355360822484,51,27.122644639177516
94,15:45,22.37302430329683,51,26.62697569670317
94,16:00,22.90030089055528,51,26.09969910944472
94,16:15,23.459175084012372,51,25.540824915987628
94,16:30,24.049636243508225,51,24.950363756491775
94,16:45,24.671673127514286,51,24.328326872485714
94,17:00,25.325273893343912,51,23.674726106656088
94,17:15,26.010426097381586,51,22.989573902618414
94,17:30,26.727116695317,51,22.272883304683
94,17:45,27.475332042394186,51,21.524667957605814
94,18:00,28.255057893670873,51,20.744942106329127
94,18:15,29.066279404290615,51,19.933720595709385
94,18:30,29.90898112976691,51,19.09101887023309
94,18:45,30.783147026272033,51,18.216852973727967
94,19:00,31.68876045094787,51,17.31123954905213
94,19:15,32.62580416222057,51,16.374195837779432
94,19:30,33.59426032012821,51,15.405739679871793
94,19:45,34.59411048666019,51,14.405889513339808
94,20:00,35.625335626113326,51,13.374664373886674
94,20:15,36.68791610544574,51,12.312083894554263
94,20:30,37.78183169465744,51,11.218168305342559
94,20:45,38.90706156717241,51,10.092938432827587
95,04:00,32.068331166764494,51,16.931668833235506
